172.24.0.1 - - [11/Oct/2023:22:47:16 +0800] "GET /api/todo HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)" 0.023 msec
172.25.0.1 - - [11/Oct/2023:23:13:47 +0800] "POST /api/todo HTTP/1.1" 200 45 "-" "Thunder Client (https://www.thunderclient.com)" 0.016 msec
172.25.0.1 - - [11/Oct/2023:23:13:49 +0800] "GET /api/todo HTTP/1.1" 200 47 "-" "Thunder Client (https://www.thunderclient.com)" 0.002 msec
172.25.0.1 - - [11/Oct/2023:23:13:59 +0800] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
172.25.0.1 - - [11/Oct/2023:23:13:59 +0800] "GET /favicon.ico HTTP/1.1" 502 559 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET / HTTP/1.1" 200 981 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.004 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET /runtime.89bfad0fe920d2c9.js HTTP/1.1" 200 564 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET /polyfills.f42e8324c5c7cbb0.js HTTP/1.1" 200 11956 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.005 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET /main.cd4317b96391a13e.js HTTP/1.1" 200 75086 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.011 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET /styles.8db889bc7d05e4c4.css HTTP/1.1" 200 2573 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.002 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET /favicon.ico HTTP/1.1" 200 948 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.002 msec
172.27.0.1 - - [11/Oct/2023:23:27:26 +0800] "GET /api/todo HTTP/1.1" 200 47 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.021 msec
172.27.0.1 - - [11/Oct/2023:23:29:55 +0800] "POST /api/todo HTTP/1.1" 200 44 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.017 msec
172.27.0.1 - - [11/Oct/2023:23:29:55 +0800] "GET /api/todo HTTP/1.1" 200 92 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.029 msec
172.27.0.1 - - [11/Oct/2023:23:29:57 +0800] "PATCH /api/todo/2 HTTP/1.1" 200 43 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.014 msec
172.27.0.1 - - [11/Oct/2023:23:29:57 +0800] "GET /api/todo HTTP/1.1" 200 91 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.031 msec
172.27.0.1 - - [11/Oct/2023:23:29:57 +0800] "PATCH /api/todo/1 HTTP/1.1" 200 44 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.009 msec
172.27.0.1 - - [11/Oct/2023:23:29:57 +0800] "GET /api/todo HTTP/1.1" 200 90 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.036 msec
172.27.0.1 - - [11/Oct/2023:23:30:02 +0800] "DELETE /api/todo/1 HTTP/1.1" 200 21 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.008 msec
172.27.0.1 - - [11/Oct/2023:23:30:02 +0800] "GET /api/todo HTTP/1.1" 200 45 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.040 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET /polyfills.f42e8324c5c7cbb0.js HTTP/1.1" 304 0 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET /main.cd4317b96391a13e.js HTTP/1.1" 304 0 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.002 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET /runtime.89bfad0fe920d2c9.js HTTP/1.1" 304 0 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET /styles.8db889bc7d05e4c4.css HTTP/1.1" 304 0 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET /api/todo HTTP/1.1" 200 45 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.27.0.1 - - [11/Oct/2023:23:30:04 +0800] "GET /favicon.ico HTTP/1.1" 304 0 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
